,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
56,196.79587764474203,138.26963382649652,153.24196648222244,152.26309874658145,169.56103325690253,164.55467861177883,135.26499466289644,181.34483567062873
57,199.97047873424887,138.36456679763518,154.1242651107731,153.14269968688566,170.9750425930875,165.42716981484517,135.2131401942854,183.04943231404815
58,203.1450798237557,138.45956494771994,155.00656373932378,154.02738194906337,172.36077174254876,166.25533002386692,135.16232281504654,184.69558314843533
59,206.31968091326254,138.55462832150124,155.88886236787445,154.91717488714409,173.7187863090208,167.04118672543922,135.11252178339248,186.28466525057772
60,209.49428200276938,138.6497569637603,156.77116099642512,155.81210802473115,175.0496405841634,167.7866993130179,135.0637167723715,187.818078240605
61,212.66888309227622,138.74495091930905,157.6534596249758,156.71221105598127,176.35387777380313,168.49375847457844,135.01588786157092,189.29723803515256
62,215.84348418178305,138.84021023299022,158.53575825352647,157.61751384658987,177.6320302196501,169.1641860239021,134.96901552898638,190.72357113543018
63,219.0180852712899,138.93553494967728,159.41805688207714,158.52804643478197,178.8846196165801,169.7997351164372,134.9230806430535,192.09850942352787
64,222.19268636079673,139.03092511427454,160.3003555106278,159.44383903230886,180.1121572255715,170.40209079623827,134.8780644548393,193.4234854399186
65,225.36728745030356,139.12638077171712,161.18265413917848,160.36492202545057,181.31514408238309,170.9728708256889,134.83394859038935,194.69992811504332
66,228.5418885398104,139.22190196697105,162.06495276772915,161.2913259760241,182.49407120205842,171.5136267545671,134.79071504322843,195.92925892804368
67,231.71648962931724,139.31748874503313,162.94725139627982,162.22308162239742,183.64941977934026,172.0258451895111,134.74834616701074,197.11288846609781
68,234.89109071882407,139.41314115093115,163.8295500248305,163.16021988050943,184.78166138507646,172.51094922910008,134.70682466831738,198.25221335838032
69,238.0656918083309,139.50885922972378,164.71184865338117,164.10277184489576,185.89125815869795,172.9703000335884,134.66613359959788,199.34861355937426
70,241.24029289783775,139.6046430265006,165.59414728193184,165.05076878972045,186.978662996847,173.40519850183588,134.6262563522528,200.40344995708344
71,244.41489398734458,139.70049258638218,166.4764459104825,166.0042421698137,188.04431973823307,173.81688703117672,134.5871766498546,201.41806228259978
72,247.58949507685142,139.79640795452008,167.35874453903318,166.96322362171546,189.08866334479143,174.20655133888295,134.54887854150437,202.39376729845338
73,250.76409616635826,139.8923891760968,168.24104316758385,167.92774496472524,190.1121200792186,174.57532232652227,134.51134639532114,203.33185724418937
74,253.9386972558651,139.98843629632594,169.12334179613453,168.89783820195785,191.11510767895726,174.92427797090053,134.47456489206158,204.23359851866368
75,257.1132983453719,140.0845493604521,170.0056404246852,169.87353552140524,192.09803552670112,175.25444522743783,134.4385190188672,205.10023057961
76,260.28789943487874,140.1807284137509,170.88793905323587,170.85486929700454,193.0613048174901,175.56680193376616,134.4031940631367,205.93296504209465
77,263.4625005243856,140.27697350152914,171.77023768178654,171.8418720897122,194.00530872246333,175.86227870307846,134.36857560652084,206.73298495853234
78,266.6371016138924,140.3732846691247,172.6525363103372,172.83457664858446,194.93043254933707,176.1417607983148,134.33464951903727,207.5014442639772
79,269.81170270339925,140.46966196190652,173.53483493888788,173.83301591186387,195.83705389967335,176.40608997966055,134.30140195330338,208.2394673714202
80,272.9863037929061,140.56610542527477,174.41713356743855,174.83722300807224,196.72554282300288,176.65606631906596,134.26881933888419,208.94814890281538
81,276.1609048824129,140.66261510466074,175.29943219598923,175.84723125710988,197.59626196786584,176.89244997659253,134.23688837675337,209.62855354251315
82,279.33550597191976,140.75919104552693,176.1817308245399,176.8630741713611,198.44956672983153,177.1159629343592,134.20559603386516,210.28171600070218
83,282.5101070614266,140.85583329336708,177.06402945309057,177.88478545680618,199.28580539655792,177.32729068471497,134.1749295378347,210.90864107534287
84,285.68470815093343,140.95254189370613,177.94632808164124,178.91239901413985,200.10531928994976,177.52708387001437,134.14487637172488,211.51030380192051
85,288.85930924044027,141.04931689210025,178.8286267101919,179.94594893989594,200.90844290547378,177.71595987202815,134.11542426893723,212.08764968114767
86,292.0339103299471,141.14615833413694,179.71092533874258,180.98546952757886,201.69550404868733,177.89450434959332,134.08656120820535,212.64159497550708
87,295.20851141945394,141.243066265435,180.59322396729326,182.03099526880138,202.4668239690366,178.06327272360357,134.0582754086881,213.17302706624625
